News
 
"R Tamil Selvan, the man who saved 36 lives at CST during 26/11 Mumbai attacks"
 
"Sara Ali Khan thanks her stars for a chance to work with Ranveer Singh, Rohit Shetty as they wrap up Simmba"
 
Entry of trucks in Delhi banned between Nov 8-10 to curb pollution
 
Shaun Marsh hopeful abscess problem behind him: Carey
 
"Diwali firecrackers, changing weather to turn Mumbai air ‘very poor’ for 3 days from Wednesday"
 
"Priyanka Chopra, Parineeti Chopra return to Mumbai after a final bachelorette pyjama party in Italy. See pics"
 
"‘Struggling’ Kyrgios seeing psychologists, working on mental health"
 
Humpy held by Zwadaska; Harika draws with Khotenashvili
 
UP chief minister Yogi Adityanath offers prayers at Ayodhya’s Hanuman Garhi Temple
 
How to celebrate Diwali with your pets
 
Take help from these 7 plants to cleanse your house air this Diwali
 
Physically-challenged man allegedly beaten to death by cops over money dispute in UP’s Hathras
 
"Before Aamir Khan’s Thugs of Hindostan, a look at how Diwali releases fared at box office over the years"
 
US midterm elections 2018: Alexandria Ocasio-Cortez makes history as youngest woman elected to Congress
 
Xiaomi Redmi Note 6 Pro: Top features of Redmi Note 5 successor
